id_jogo_cbf,category,amount
14210b_2025,SEGURO TORCEDOR,209.5
14210b_2025,5% - FEDERAÇÃO LOCAL,11000.0
14210b_2025,5% - INSS [RENDA BRUTA],11000.0
14210b_2025,"20% - INSS SOBRE A REMUNERAÇÃO ARBITRAGEM, AUXILIARES, DELEGADOS, FISCAIS",6386.0
14210b_2025,20% - INSS SOBRE DIÁRIAS E TRANSPORTES NÃO COMPROVADOS DA ARBITRAGEM,941.47
14210b_2025,"ARBITRAGEM, AUXILIARES, DELEGADOS, FISCAIS",31930.0
14210b_2025,BILHETEIROS / PORTEIROS,2800.0
14210b_2025,SERVIÇOS TERCEIRIZADOS,21037.0
14210b_2025,TAXA DE ILUMINAÇÃO,4439.0
14210b_2025,TRANSPORTE E HOSPEDAGEM DA ARBITRAGEM,9609.8
14211b_2025,TAXA FERJ,39552.58
14211b_2025,INSS 5% DECRETO,43311.58
14211b_2025,TAXA DE ARBITRAGEM,33133.6
14211b_2025,INSS 20% S/ ARBITRAGEM,1766.0
14211b_2025,DIÁRIA E REEMBOLSO PASSAGEM ARBITRAGEM,3728.5
14211b_2025,DESPESA OPERACIONAL E DELEGADOS,25000.0
14211b_2025,"SEGURO DO PÚBLICO PRESENTE (0,032)",631.33
14211b_2025,CREDENCIAMENTO,3000.0
14211b_2025,CONTROLE E EXAME DE DOPING,4000.0
14211b_2025,CONFECÇÃO VENDA E PRÉ VENDA DE INGRESSOS,58734.38
14211b_2025,TAXA DE BOMBEIROS,4384.99
14211b_2025,DESPESAS DO ESTÁDIO,799252.22
14211b_2025,INGRESSO PROMOCIONAL,36960.0
14211b_2025,CAMAROTE PROMOCIONAL,38220.0
14211b_2025,SUPERVISOR DE PROTOCOLO CBF,2150.0
14211b_2025,INSS 20% S/ SUPERVISOR DE PROTOCOLO CBF,130.0
14212b_2025,TAXA FERJ,25749.0
14212b_2025,INSS 5% (SAF Botafogo Lei nº 14.193/2021),0.0
14212b_2025,TAXA DE ARBITRAGEM,34541.5
14212b_2025,INSS 20% S/ ARBITRAGEM,2440.0
14212b_2025,DIÁRIA E REEMBOLSO PASSAGEM ARBITRAGEM,4287.1
14212b_2025,DESPESA OPERACIONAL E DELEGADO,25000.0
14212b_2025,"SEGURO DO PÚBLICO PRESENTE (0,032)",320.96
14212b_2025,CREDENCIAMENTO,2900.0
14212b_2025,CONTROLE E EXAME DE DOPING,4000.0
14212b_2025,CONFECÇÃO VENDA E PRÉ VENDA DE INGRESSOS,16610.34
14212b_2025,TAXA DE BOMBEIROS,4384.99
14212b_2025,POSTO MÉDICO,15830.0
14212b_2025,SEGURANÇA PRIVADA,80664.12
14212b_2025,DESPESA OPERACIONAL DO ESTÁDIO,159349.6
14212b_2025,INGRESSO PROMOCIONAL,10860.0
14212b_2025,CAMAROTE PROMOCIONAL,29610.0
14212b_2025,DESPESA SÓCIO TORCEDOR,316236.0
14212b_2025,SUPERVISÃO PROTOCOLO CBF,2150.0
14212b_2025,INSS 20% S/ SUPERVISÃO DE PROTOLOCO CBF,260.0
14213b_2025,Seguro Público Pagante - CBF,1375.01
14213b_2025,2% ISS,59176.39
14213b_2025,20% INSS Arbitragem,4316.33
14213b_2025,20% INSS Prestadores de Serviços,306.0
14213b_2025,5% - FPF,147940.99
14213b_2025,5% INSS Renda Bruta,147940.99
14213b_2025,Alimentação / Prest. Serviço / Staff / Policiamento,14308.2
14213b_2025,Ambulância,7555.0
14213b_2025,Ambulatório,8100.0
14213b_2025,Antidoping CBF,2200.0
14213b_2025,Antidoping CBF - Análise Laboratorias,1800.0
14213b_2025,Arbitragem - Diária / Transporte,1530.43
14213b_2025,"Arbitragem, Assistentes e Delegados",39259.67
14213b_2025,Arrecadador,941.0
14213b_2025,Banheiros Químicos,1000.0
14213b_2025,Brigada de Incêndio - Bombeiro,21560.0
14213b_2025,CET,27178.69
14213b_2025,DELEGADO/DIRETOR DE JOGO,1056.0
14213b_2025,Emissão de Ingressos,205470.69
14213b_2025,Equipe de Apoio,10220.0
14213b_2025,Funcionários,2960.0
14213b_2025,Gandulas e Maqueiros,1200.0
14213b_2025,Gerente de Operações,941.0
14213b_2025,Gradeamento,8682.01
14213b_2025,Ingressos e Controle de Acesso,57451.56
14213b_2025,"Limpeza, Higienização e Sanitização",1560.0
14213b_2025,Locação de Equipamentos e Manutenção,8910.0
14213b_2025,Logística da Arbitragem,20703.71
14213b_2025,Monitoramento Por Imagem,3476.0
14213b_2025,OFICIAIS CBF (SUPERVISOR E COORDENADOR),1500.0
14213b_2025,Orientadores,83055.0
14213b_2025,Prestadores de Serviços,1530.0
14213b_2025,Segurança Privada,226260.0
14213b_2025,11% INSS Equipe de Arbitragem,948.2
