id_jogo_cbf,source,quantity,price,amount
14210b_2025,CORTESIA DIVERSOS - CRIANÇAS - INTEIRA,843,20.0,16860.0
14210b_2025,DESCOBERTA ARQUIBANCADA - - INTEIRA,1134,60.0,68040.0
14210b_2025,DESCOBERTA ARQUIBANCADA - ΜΕΙΑ,2646,30.0,79380.0
14210b_2025,DESCOBERTA ARQUIBANCADA - PROMOCIONAL - INTEIRA,523,40.0,20920.0
14210b_2025,DESCOBERTA ARQUIBANCADA - PROMOCIONAL - ΜΕΙΑ,1239,20.0,24780.0
14210b_2025,DESCOBERTA ARQUIBANCADA - VISITANTE - INTEIRA,75,80.0,6000.0
14210b_2025,DESCOBERTA ARQUIBANCADA - VISITANTE - ΜΕΙΑ,33,40.0,1320.0
14210b_2025,SÓCIO CADEIRA - INTEIRA,54,50.0,2700.0
14211b_2025,Cadeira Sul Inteira,1062,80.0,84960.0
14211b_2025,Cadeira Sul Meia,2473,40.0,98920.0
14211b_2025,Cadeira Sul Sócio Futebol,428,40.0,17120.0
14211b_2025,Cadeira Sul Sócio Família,653,40.0,26120.0
14211b_2025,Cadeira Sul Guerreiro Toda Terra,4,48.0,192.0
14211b_2025,Cadeira Sul Guerreiro,19,64.0,1216.0
14211b_2025,Cadeira Sul Sócio,5660,40.0,226400.0
14211b_2025,Cadeira Leste Inferior Inteira,1692,60.0,101520.0
14211b_2025,Cadeira Leste Inferior Meia,1406,30.0,42180.0
14211b_2025,Cadeira Leste Inferior Sócio Futebol,192,30.0,5760.0
14211b_2025,Cadeira Leste Inferior Sócio Família,154,30.0,4620.0
14211b_2025,Cadeira Leste Inferior Guerreiro Toda Terra,2,36.0,72.0
14211b_2025,Cadeira Leste Inferior Guerreiro,14,48.0,672.0
14211b_2025,Cadeira Leste Inferior Sócio,388,30.0,11640.0
14211b_2025,Cadeira Oeste Inferior Inteira,273,120.0,32760.0
14211b_2025,Cadeira Oeste Inferior Meia,179,60.0,10740.0
14211b_2025,Cadeira Oeste Inferior Sócio Futebol,52,60.0,3120.0
14211b_2025,Cadeira Oeste Inferior Sócio Família,53,60.0,3180.0
14211b_2025,Cadeira Oeste Inferior Guerreiro Toda Terra,0,72.0,0.0
14211b_2025,Cadeira Oeste Inferior Guerreiro,2,96.0,192.0
14211b_2025,Cadeira Oeste Inferior Sócio,424,60.0,25440.0
14211b_2025,Cadeira Maracanã Mais Inteira,11,525.0,5775.0
14211b_2025,Cadeira Maracanã Meia,12,262.5,3150.0
14211b_2025,Cadeira Maracanã Mais Sócio Futebol,1,525.0,525.0
14211b_2025,Cadeira Maracanã Mais Sócio Família,6,262.5,1575.0
14211b_2025,Cadeira Maracanã Mais Sócio,313,262.5,82162.5
14211b_2025,Cadeira Norte Inteira Visitante,9,80.0,720.0
14211b_2025,Cadeira Norte Meia Visitante,8,40.0,320.0
14211b_2025,Ingresso Promocional,1232,30.0,36960.0
14211b_2025,Camarote Promocional,1274,30.0,38220.0
14212b_2025,NORTE INTEIRA,83,60.0,4980.0
14212b_2025,NORTE MEIA,268,30.0,8040.0
14212b_2025,NORTE BRANCO,28,30.0,840.0
14212b_2025,NORTE SÓCIO PRETO,43,30.0,1290.0
14212b_2025,NORTE SÓCIO ACOMPANHANTE GLORIOSO,50,30.0,1500.0
14212b_2025,NORTE SÓCIO ALVINEGRO OFF,9,30.0,270.0
14212b_2025,NORTE SÓCIO GLORIOSO 100%,29,30.0,870.0
14212b_2025,NORTE SÓCIO ALVINEGRO 100%,39,30.0,1170.0
14212b_2025,LESTE INFERIOR INTEIRA,18,200.0,3600.0
14212b_2025,LESTE INFERIOR MEIA,56,100.0,5600.0
14212b_2025,LESTE INFERIOR SÓCIO BRANCO,19,100.0,1900.0
14212b_2025,LESTE INFERIOR SÓCIO PRETO,62,100.0,6200.0
14212b_2025,LESTE INFERIOR SÓCIO ACOMPANHANTE GLORIOSO,167,100.0,16700.0
14212b_2025,LESTE INFERIOR SÓCIO ALVINEGRO OFF,24,100.0,2400.0
14212b_2025,LESTE INFERIOR SÓCIO GLORIOSO 100%,438,100.0,43800.0
14212b_2025,LESTE INFERIOR SÓCIO ALVINEGRO 100%,1036,100.0,103600.0
14212b_2025,OESTE INFERIOR INTEIRA,90,200.0,18000.0
14212b_2025,OESTE INFERIOR MEIA,69,100.0,6900.0
14212b_2025,OESTE INFERIOR SÓCIO BRANCO,14,100.0,1400.0
14212b_2025,OESTE INFERIOR SÓCIO PRETO,55,100.0,5500.0
14212b_2025,OESTE INFERIOR SÓCIO ACOMPANHANTE GLORIOSO,133,100.0,13300.0
14212b_2025,OESTE INFERIOR SÓCIO ALVINEGRO OFF,34,100.0,3400.0
14212b_2025,OESTE INFERIOR SÓCIO GLORIOSO 100%,275,100.0,27500.0
14212b_2025,OESTE INFERIOR SÓCIO ALVINEGRO 100%,631,100.0,63100.0
14212b_2025,LESTE SUPERIOR INTEIRA,271,80.0,21680.0
14212b_2025,LESTE SUPERIOR MEIΑ,1145,40.0,45800.0
14212b_2025,LESTE SUPERIOR SÓCIO BRANCO,236,40.0,9440.0
14212b_2025,LESTE SUPERIOR SÓCIO PRETO,455,40.0,18200.0
14212b_2025,LESTE SUPERIOR SÓCIO ACOMPANHANTE GLORIOSO,468,40.0,18720.0
